datasource,date,value
BORGEYASOCAGR,08/07/2008,36.60
BORGEYASOCAGR,08/25/2008,39.80
BORGEYASOCAGR,02/15/2014,10.50
BORGEYASOCAGR,05/15/2015,9.60
BORGEYASOCAGR,09/03/2015,0.00
CIMAAPP,05/15/2004,0.00
CIMAAPP,05/15/2005,0.00
CIMAAPP,03/15/2006,0.00
CIMAAPP,06/15/2007,0.00
CIMAAPP,06/15/2008,0.00
CIMAAPP,04/30/2010,0.00
CIMAAPP,04/15/2011,0.00
LB,06/01/2002,0.00
LB,08/28/2003,0.00
LB,06/29/2004,0.00
LB,09/09/2005,0.00
LB,11/15/2006,0.00
LB,10/09/2007,0.00
LB,10/11/2008,0.00
LB,10/26/2009,0.00
LB,10/06/2010,0.00
LB,08/16/2011,0.00
LB,06/30/2013,0.00
UCR,07/15/1989,0.00
UCR,07/15/1990,0.00
UCR,07/15/1991,0.00
UCR,07/15/1992,0.00
UCR,07/15/1993,0.00
UCR,07/15/1994,0.00
UCR,07/15/1995,0.00
UCR,07/15/1996,0.00
UCR,07/15/1997,0.00
UCR,07/15/1998,0.00
UCR,07/15/1999,0.00
UCR,07/15/2000,0.00
UCR,07/15/2001,0.00
UCR,07/15/2002,52.70
UCR,07/15/2003,-43.10
UCR,07/15/2004,26.90
UCR,06/15/2006,64.30
UCR,10/15/2007,51.10
UCR,07/15/2008,39.30
UCR,06/27/2009,39.30
UCR,09/17/2011,28.40
UCR,04/27/2013,-50.30
UCR,08/15/2013,-52.40
UCR,11/15/2013,-49.10
UCR,01/15/2014,-49.30
UCR,08/04/2014,19.40
UCR,09/11/2014,13.60
UCR,11/29/2014,-3.70
UCR,04/30/2015,-28.60
UCR,09/03/2015,-42.60
